Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Mount Emerald Wind Farm,42.65984,QLD1,2022-08-30T04:05:00+0000,23.94,23.64,178.2,180.45,159,"3.45, 3.3","1-37,  38-53",Ergon Energy Queensland Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MEWF1,-17.1675,145.38737
White Rock Solar Farm,4.45,NSW1,2022-08-30T04:05:00+0000,22.25,20.23,20,22,50,2.75,71-78,White Rock Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,WRSF1,-29.76476312,151.5535455
Coleambally Solar Farm,43.60077,NSW1,2022-08-30T04:05:00+0000,29.07,24.22,150,180,30,1.666,Jan-90,Coleambally Solar Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,COLEASF1,-34.74343877,145.9533966
Emerald Solar Park,10.93,QLD1,2022-08-30T04:05:00+0000,15.18,12.42,72,88,165,2.75,Jan-32,Telstra Energy (Generation) Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,EMERASF1,-23.5083648,148.1347148
Daydream Solar Farm,22.508,QLD1,2022-08-30T04:05:00+0000,31.55,28.22,71.34,79.75,165,2.75,Jan-29,Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,DAYDSF1,-20.49473778,147.7706606
Hayman Solar Farm,6.689,QLD1,2022-08-30T04:05:00+0000,13.38,11.58,50,57.75,165,2.75,Jan-21,Hayman Solar Farm Pty Ltd As The Trustee For The Hayman Solar Farm Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HAYMSF1,-20.48766837,147.7449335
Karadoc Solar Farm,29.4,VIC1,2022-08-30T04:05:00+0000,32.67,28.27,90,104,18,2.368,Jan-38,Iraak Sun Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,KARSF1,-34.41541985,142.2520922
Ballarat Battery Energy Storage System,0,VIC1,2022-08-30T04:05:00+0000,0,0,30,30,360,1.764,Jan-17,EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BALBG1,-37.567609,143.919864
Ballarat Battery Energy Storage System,5.03,VIC1,2022-08-30T04:05:00+0000,16.77,16.77,30,30,360,1.764,Jan-17,EnergyAustralia Pty Ltd,Load,Market,Scheduled,-,-,Storage,Battery,Y,BALBL1,-37.567609,143.919864
Crowlands Wind Farm,58.63629,VIC1,2022-08-30T04:05:00+0000,74.22,73.34,79,79.95,39,2.05,Jan-39,Pacific Hydro Crowlands Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CROWLWF1,-37.12155984,143.1537151
